Voltage (V), Current (A), Active Power (Watt), Accumulated Energy (Watt-Hour), Elapsed Time (Seconds)
9.91e+37,	9.91e+37,	9.91e+37,	0,	0
-0.00903798,	-8.20288e-05,	2.98368,	0.00082833,	1
-0.00772942,	-6.31715e-05,	2.98285,	0.00165648,	2
-0.0104423,	-5.56233e-05,	2.9819,	0.00248438,	3
-0.00873062,	-4.00262e-05,	2.98273,	0.00331253,	4
-0.0111337,	-3.64248e-05,	2.98219,	0.00414052,	5
-0.00973856,	-2.84113e-05,	2.98216,	0.00496849,	6
-0.0100115,	-1.75172e-05,	2.98385,	0.00579685,	7
-0.00971335,	-2.19906e-05,	2.98327,	0.00662521,	8
-0.0103226,	-2.08259e-05,	2.98182,	0.00745315,	9
-0.00989398,	-2.93916e-05,	2.98289,	0.00828134,	10
-0.0113798,	-1.26281e-05,	2.98232,	0.00910948,	11
-0.00964438,	-3.6682e-05,	2.98109,	0.00993736,	12
-0.0109429,	-3.46933e-05,	2.98227,	0.0107674,	13
-0.00952069,	-4.4318e-05,	2.98293,	0.0115988,	14
-0.0106787,	-3.93373e-05,	2.98251,	0.0124286,	15
-0.00904227,	-4.84139e-05,	2.98404,	0.0124286,	15
